#1	
double tab1(192,2)	
0	0.003786030
3600	0.003782465
7200	0.003768205
10800	0.003750380
14400	0.003739685
18000	0.003714730
21600	0.003707600
25200	0.003764640
28800	0.003786030
32400	0.003789595
36000	0.003775335
39600	0.003750380
43200	0.003739685
46800	0.003721860
50400	0.003721860
54000	0.003736120
57600	0.003750380
61200	0.003771770
64800	0.003778900
68400	0.003782465
72000	0.003789595
75600	0.003796725
79200	0.003800290
82800	0.003803855
86400	0.003721860
90000	0.003714730
93600	0.003714730
97200	0.003718295
100800	0.003718295
104400	0.003707600
108000	0.003700470
111600	0.003704035
115200	0.003696905
118800	0.003693340
122400	0.003696905
126000	0.003693340
129600	0.003704035
133200	0.003682645
136800	0.003675515
140400	0.003675515
144000	0.003693340
147600	0.003700470
151200	0.003736120
154800	0.003771770
158400	0.003782465
162000	0.003796725
165600	0.003821680
169200	0.003846635
172800	0.003839505
176400	0.003832375
180000	0.003850200
183600	0.003846635
187200	0.003853765
190800	0.003853765
194400	0.003839505
198000	0.003810985
201600	0.003743250
205200	0.003696905
208800	0.003618475
212400	0.003661255
216000	0.003582825
219600	0.003547175
223200	0.003575695
226800	0.003529350
230400	0.003507960
234000	0.003515090
237600	0.003507960
241200	0.003525785
244800	0.003547175
248400	0.003593520
252000	0.003629170
255600	0.003632735
259200	0.003436660
262800	0.003422400
266400	0.003436660
270000	0.003458050
273600	0.003475875
277200	0.003493700
280800	0.003497265
284400	0.003447355
288000	0.003393880
291600	0.003319015
295200	0.003237020
298800	0.003158590
302400	0.003197805
306000	0.003215630
309600	0.003165720
313200	0.003172850
316800	0.003137200
320400	0.003137200
324000	0.003137200
327600	0.003137200
331200	0.003137200
334800	0.003137200
338400	0.003140765
342000	0.003165720
345600	0.003365360
349200	0.003361795
352800	0.003372490
356400	0.003368925
360000	0.003376055
363600	0.003386750
367200	0.003386750
370800	0.003415270
374400	0.003383185
378000	0.003361795
381600	0.003343970
385200	0.003311885
388800	0.003301190
392400	0.003397445
396000	0.003311885
399600	0.003254845
403200	0.003251280
406800	0.003247715
410400	0.003261975
414000	0.003286930
417600	0.003322580
421200	0.003351100
424800	0.003351100
428400	0.003354665
432000	0.003454485
435600	0.003458050
439200	0.003461615
442800	0.003461615
446400	0.003465180
450000	0.003468745
453600	0.003465180
457200	0.003468745
460800	0.003468745
464400	0.003468745
468000	0.003458050
471600	0.003454485
475200	0.003397445
478800	0.003429530
482400	0.003390315
486000	0.003347535
489600	0.003347535
493200	0.003372490
496800	0.003365360
500400	0.003404575
504000	0.003472310
507600	0.003493700
511200	0.003536480
514800	0.003465180
518400	0.003775335
522000	0.003786030
525600	0.003810985
529200	0.003807420
532800	0.003810985
536400	0.003771770
540000	0.003757510
543600	0.003743250
547200	0.003753945
550800	0.003732555
554400	0.003718295
558000	0.003718295
561600	0.003718295
565200	0.003732555
568800	0.003728990
572400	0.003739685
576000	0.003732555
579600	0.003714730
583200	0.003700470
586800	0.003746815
590400	0.003764640
594000	0.003771770
597600	0.003782465
601200	0.003796725
604800	0.003721860
608400	0.003718295
612000	0.003711165
615600	0.003718295
619200	0.003728990
622800	0.003736120
626400	0.003728990
630000	0.003761075
633600	0.003764640
637200	0.003732555
640800	0.003739685
644400	0.003732555
648000	0.003725425
651600	0.003714730
655200	0.003714730
658800	0.003711165
662400	0.003728990
666000	0.003728990
669600	0.003736120
673200	0.003739685
676800	0.003725425
680400	0.003707600
684000	0.003721860
687600	0.003743250
