"time","hp2.Pelec"
0,40
0.0161928,42
0.0161928,42
0.0190915,47.1822
0.0190915,47.1822
1,44.817
1,44.817
1,44.817
2,43.9337
2,43.9337
2,43.9337
3,42.828
3,42.828
3,42.828
4,42.157
4,42.157
4,42.157
5,40.6766
5,40.6766
5,40.6766
6,40.2223
6,40.2223
6,40.2223
7,43.57
7,43.57
7,43.57
8,44.9939
8,44.9939
8,44.9939
9,45.2594
9,45.2594
9,45.2594
10,44.3846
10,44.3846
10,44.3846
11,42.8416
11,42.8416
11,42.8416
12,42.157
12,42.157
12,42.157
13,41.0904
13,41.0904
13,41.0904
14,41.0583
14,41.0583
14,41.0583
15,41.8933
15,41.8933
15,41.8933
16,42.7669
16,42.7669
16,42.7669
17,44.0877
17,44.0877
17,44.0877
18,44.5679
18,44.5679
18,44.5679
19,44.8023
19,44.8023
19,44.8023
20,45.2519
20,45.2519
20,45.2519
21,45.7123
21,45.7123
21,45.7123
22,45.9512
22,45.9512
22,45.9512
23,46.1835
23,46.1835
23,46.1835
24,41.2059
24,41.2059
24,41.2059
25,40.6451
25,40.6451
25,40.6451
26,40.6324
26,40.6324
26,40.6324
27,40.8386
27,40.8386
27,40.8386
28,40.8449
28,40.8449
28,40.8449
29,40.2284
29,40.2284
29,40.2284
30,39.8025
30,39.8025
30,39.8025
31,39.9935
31,39.9935
31,39.9935
32,39.594
32,39.594
32,39.594
33,39.3801
33,39.3801
33,39.3801
34,39.5757
34,39.5757
34,39.5757
35,39.38
35,39.38
35,39.38
36,39.9812
36,39.9812
36,39.9812
37,38.7907
37,38.7907
37,38.7907
38,38.3586
38,38.3586
38,38.3586
39,38.347
39,38.347
39,38.347
40,39.3439
40,39.3439
40,39.3439
41,39.778
41,39.778
41,39.778
42,41.8539
42,41.8539
42,41.8539
43,44.0593
43,44.0593
43,44.0593
44,44.7879
44,44.7879
44,44.7879
45,45.6972
45,45.6972
45,45.6972
45.9224,47.1822
45.9224,47.1822
45.9225,47.2944
45.9225,47.2944
45.9771,47.2944
45.9771,47.2944
45.9771,47.3653
45.9771,47.3653
46,47.3571
46,47.3571
46,47.3571
46.0152,47.3653
46.0152,47.3653
46.0153,47.422
46.0153,47.422
46.0474,47.422
46.0474,47.422
46.0474,47.4727
